id,service_name,service_id,product_id,shortcode,keyword,mo_url,service_type,creation_time,modification_time,service_status,service_created_by,sending_time,sms_status,try
"276","ATN_Bangla_Push_Pull_Service","0303413230","0300396928","2010",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:23:31","SUCCESS","100"
"277","4141_230","0303413236","0300397055","4141",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:21:37","SUCCESS","100"
"278","Head_Neck cancer_Society","0303413251","0300397234","16329",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:04:34","SUCCESS","100"
"279","SSL Push-Pull SMS service_9696","0303413239","0300397070","9696",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:04:31","SUCCESS","100"
"280","Independent_TV_Push_Pull_Based","0303413246","0300397163","16232",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:04:29","SUCCESS","100"
"281","Bangladesh_Society_HLS","0303413245","0300397121","16223",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:03:12","SUCCESS","100"
"287","SSLW","01003929710","0100393902","190","SSLW",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"288","190OND","100393527","0100393903","190",\N,"http://192.168.250.147/robi_sdp/getMo.php","On demand",\N,\N,"1",\N,"2014-10-22 01:03:06","SUCCESS","100"
"289","Daily_Star","0303413262","0300398311","22000","DS",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"290","ATN_Bangla","0303413255","0300398304","22000","AN",\N,"Subscription\
",\N,\N,"1",\N,\N,"processing","0"
"291","Independent_TV","0303413254","0300398303","22000","IN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"292","Kaler_Kantho","0303413261","0300398310","22000","KK",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"293","Entertainment","0303413258","0300398307","22000","EN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"294","Dhakatimes24_News","0303413256","0300398305","22000","DT",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"295","Prothom_Alo","0303413253","0300398302","22000","PA",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"296","Cricket_News","0303413257","0300398493","22000","CN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"297","NTV_News","0303413259","0300398308","22000","NTV",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"298","New_Age_News","0303413260","0300398309","22000","NA",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
